caller,loss
0x5ced8483b6c26f6ab4d936129133e1998d19ce2d05211b296d6cc36036cc0f2,26097871753321
0x21dabee274338bce6da8b3018ea76c3b073c80b294d9135896a12d3d73c0be7,26097871753321
0x5048efade4f223bd19008bac83705bb5df6de43130e926594f8f1bb2497e73c,26097871753321
0x713348cb2d7760aa2470e7c8b97ca81808d16e6bc5275fabad9c68cad6cfe58,28707658928653
0x6c4cd2e16d38a60e8a9618de54c30a9a88428002461ad5588073941da611c69,40948716443802909
0x69d0204eaee7f5bd247dd8b3e6814edf82e02df2d369993e1869c2e35c1fa34,1023717911095072
0x76b1f3b263f27f817da523140dfd22f268d2db2e384ead95f82b05c884d3ac9,20474358221901
0x7b9144c633d65689e3c1a4a89227d934348f18c2e0e6b74e42328c73bd82f18,40948716443802
0x25f58d036454a6f1dbf3ce10d2055692a9eda65a4cca68a988b20501dec524c,20474358221901
0x69fe0499cc3b4b1630f86802a2168c15f56f26b388059c1ac2fc9eb2e5bcc9,2047435822190145
0x769798a3c7125be92d025bfb14002ab7c18586d3ecc8f36f0c0e002451f9416,2047435822190145
